File,Video URL,Player,Date,Team Name,Result,Floor,Seed,Version,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
2022-12-08_12-49-28.rsrec,,Trio-,2022-12-08,PipInstall,Cleared,30,7AAA028BA74DDE1B,v0.6.8,39953,1481,0,41434,10707,,"Pip/Empoleon, Leafeon/Leafeon, Ninetales/Ninetales, Charizard/Charizard",,,
2023-01-15_17-35-31.rsrec,,Xindage,2023-01-22,The FireRed,Cleared,30,61FF94B873AD480B,v0.6.8,29333,11300,0,40633,10538,,"Ditto/Ditto, Vaporeon/Vaporeon, Charizard/Charizard, Flygon/Flygon",,,
2023-02-05_00-08-16.rsrec,,Dragonfabri,2023-02-05,Fabrighoard,Cleared,30,D0DFE3CB0AD76A73,v0.6.9,29958,4615,0,34573,11293,4:37:29,"Fabri/Sudowoodo|Shiny, Scyther/Scyther, Gyarados/Gyarados|Female, Cherrim/Cherrim",,"Must select ""Yes"" at the ""...are you sure?"" prompt.",
2020-10-23_01-46-51.rsrec,https://youtu.be/gfTSloA7tBY,Shitpost Sunkern,2020-10-23,Saucy Squad,Cleared,30,7EE48B9068A5F79C,v0.2.3,9628,9427,0,19055,8818,,"Sriracha/Charizard, Pesto/Meganium, Worcestershire/Lumineon|Female, Vodka/Flygon, Hoisin/Quagsire",,This run prominently features a bug present in this version of PMDO which allows more than four party members to be used simultaneously.,
2022-03-20_00-25-23.rsrec,,justjude97,2022-03-20,misplay,Cleared,30,D205F5DCC5EE6A1F,v0.5.8,10775,2205,0,12980,7380,,"totes cool/Feraligatr, leafy/Meganium, Vappy/Vaporeon, birb/Pidgeot",,,
2022-11-09_17-56-55.rsrec,,CobaltGray,2022-11-09,Gensokyo Drifters,Cleared,30,10BC75076D9F8126,v0.6.5,7908,5002,0,12910,8162,,"Cody/Charizard|Shiny, Emerald/Flygon, Eclipse/Gardevoir, Cerulean/Jynx",,,
2022-03-27_14-38-40.rsrec,https://youtu.be/JEYKb9T7Kbs,2tousent,2022-03-27,Doom Desire,Cleared,30,8F730822BDA04D3E,v0.5.9,6466,2085,0,8551,8187,,"Nidoking/Nidoking, Vibrava/Vibrava, Leafeon/Leafeon, Riolu/Riolu",,,
2022-05-16_18-15-49.rsrec,,f UwU,2022-05-16,Time's End,Defeated,24,527A873B98D29420,v0.5.8,6178,4620,0,10798,7273,,"Teddiursa/Teddiursa, Octillery/Octillery",,,
The_great_tale_of_Lickilicky.rsrec,,The kitchen sunk,2023-02-17,The Noble Victory,Defeated,21,48E0479601F49FCF,v0.6.9,7574,5875,0,13449,8497,4:34:05,"Lickilicky/Lickilicky, Houndoom/Houndoom, Luxray/Luxray, Larvitar/Larvitar",,"Must select ""Yes"" at the ""...are you sure?"" prompt.",true
2022-07-06_20-03-02.rsrec,https://youtu.be/zKYKdBrgWCk,Obscured,2022-07-06,Team Outlaw,Defeated,18,5FF03C4431EA71B3,v0.5.4,2055,2340,0,4395,3396,,"Quilava/Quilava|Shiny, Kecleon/Kecleon, Voltorb/Voltorb, Staravia/Staravia",,,
