File,Video URL,Player,Date,Team Name,Result,Floor,Seed,Version,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
2023-01-15_17-35-31.rsrec,,Xindage,2023-01-22,The FireRed,Cleared,30,61FF94B873AD480B,v0.6.8,29333,11300,0,40633,10538,,"Ditto/Ditto, Vaporeon/Vaporeon, Charizard/Charizard, Flygon/Flygon",,,
2023-01-04_21-30-54.rsrec,https://youtu.be/jaPBQO1kOLM,Trio-,2023-01-06,The Great Encounters,Cleared,30,CCAC5EE2FE216FA5,v0.6.8,25819,9865,0,35684,9634,,Lucario/Lucario|Shiny,,,
2022-12-29_09-30-57.rsrec,,Xindage,2022-12-29,Team Diamond,Cleared,30,E9DE16475A4C28F9,v0.6.7,29611,5144,0,34755,9108,,"Charizard/Charizard, Sylveon/Sylveon, Misdreavus/Misdreavus, Lumineon/Lumineon",,,
2022-11-09_12-51-05.rsrec,,Xindage,2022-11-11,Majestic Dawn,Cleared,30,24C06174DDCD427,v0.6.5,23158,9550,0,32708,9858,,"Drapion/Drapion|Shiny, Clefairy/Clefairy, Vaporeon/Vaporeon, Magcargo/Magcargo",,,
2022-12-24_23-52-28.rsrec,,Trio-,2022-12-25,Duo,Cleared,30,75E3EAE92BBC4093,v0.6.7,9695,7935,0,17630,9162,,"Lux/Lucario|Shiny, Vulpix/Vulpix",,,
2020-10-03_18-04-07.rsrec,https://youtu.be/iqM9tece8Bk,Shitpost Sunkern,2020-10-04,Team Turtle,Cleared,30,F5687D31074A9786,v0.2.1,9575,6670,0,16245,8665,,"Tortue/Blastoise, Snapper/Feraligatr, Terrapin/Vibrava, Toytle/Claydol",,,
2020-12-12_21-19-33.rsrec,https://youtu.be/7uAGyuTZkro,Shitpost Sunkern,2020-12-24,Team Starlight,Cleared,30,C264314218D14EB6,v0.2.7.1,10957,5060,0,16017,7878,,"Étoile/Staraptor|Female, Magnetar/Luxray, Schwarzschild/Honchkrow, Astrolabe/Claydol",,,
2021-03-02_13-51-36.rsrec,https://youtu.be/A74w28RZJ0s,Shitpost Sunkern,2021-03-03,Koridai Crusaders,Cleared,30,585DEFA6609ABC20,v0.2.10,9748,2866,0,12614,9650,,"Morshu/Kecleon, Suprena/Honchkrow, Horgum/Luxray, Anutu/Feraligatr",,,
2023-02-09_22-34-02.rsrec,,Trio-,2023-02-09,Rising Rivals,Cleared,30,B3DF128571353DD0,v0.6.9,2460,2989,0,5449,5891,0:45:33,Lucario/Lucario,,"Must select ""Yes"" at the ""...are you sure?"" prompt. Speedrun.",
2022-03-21_23-52-07.rsrec,,2tousent,2022-03-21,Doom Desire,Defeated,27,1B6DA0F531226A8E,v0.5.9,9614,8032,0,17646,8614,,"Empoleon/Empoleon, Vaporeon/Vaporeon, Lucario/Lucario, Bronzong/Bronzong",,,
2022-03-19_12-08-12_1.rsrec,,Xindage,2022-03-20,The Noble Victory,Defeated,25,DE05560875313ECD,v0.5.8,16566,7210,0,23776,5816,,"Magcargo/Magcargo, Vaporeon/Vaporeon, Lumineon/Lumineon|Female, Murkrow/Murkrow|Female",,,
2022-03-25_17-29-23.rsrec,,2tousent,2022-03-25,Doom Desire,Defeated,21,0F574B3A8176835D,v0.5.9,6097,1476,0,7573,7575,,"2tousent/Nidoking, Vee/Vaporeon, Sumoh/Hariyama",,,
2022-03-20_14-48-18.rsrec,,2tousent,2022-03-20,Doom Desire,Defeated,19,C7039A03574BCE5B,v0.5.8,5658,3565,0,9223,5915,,"2tousent/Nidoking, Raticate/Raticate, Finneon/Finneon, Bronzor/Bronzor",,,
2022-07-04_22-51-40.rsrec,https://youtu.be/VeWeEnZxuWQ,Obscured,2022-07-04,Team Magma,Defeated,13,A6D874A3029ADBB5,v0.5.4,3180,11645,0,14825,4087,,"Sylveon/Sylveon, Luxio/Luxio, Houndour/Houndour, Eevee/Eevee",,,
2022-07-05_22-23-48.rsrec,,Obscured,2022-07-05,Team Gym Heroes,Defeated,13,DDBF0B2100BE2D1A,v0.5.4,2592,3805,0,6397,3370,,"Staravia/Staravia|Female, Luxio/Luxio, Larvitar/Larvitar, Drowzee/Drowzee",,,
2022-02-09_22-42-32.rsrec,,Xindage,2022-02-09,Team Skyridge,Gave up,10,DEC46463114B9B50,v0.5.7,2694,2411,0,5105,2539,,"Vulpix/Alolan Vulpix, Eevee/Eevee, Swinub/Swinub",,,
2022-06-29_12-40-54.rsrec,,Obscured,2022-06-29,Galactic Conquest,Defeated,9,0D2C0CAD955E69B3,v0.5.4,1101,6790,0,7891,2209,,"Luxio/Luxio, Eevee/Eevee",,,
